id,name,startDate,isCurrentSeason,classification
a826b403-b813-4318-9805-5bbe4cf7f238,Summer 2025/26,2025-07-01T00:00:00.0000000+00:00,True,"[{""id"": 1, ""name"": ""Participating""}]"
6169f605-4b96-4f21-87c5-0862f914624f,Winter 2025,2025-01-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
fc1465b6-3c80-4b82-9759-680a784168c2,Summer 2024/25,2024-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
f8ebef3a-ba2d-48c4-95f8-0b13d067e817,Summer 2023/24,2023-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,2022-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
b1454afb-68a7-46c3-b05c-4b3fe68077cb,Winter 2022,2022-01-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
aad2a6fe-7bbd-4680-a386-01319b828522,Summer 2021/22,2021-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
3750296e-c0ac-4f67-ada4-9a47266c1f8a,Winter 2021,2021-01-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
a387270b-f2fd-4e48-9334-b7f9b59589a5,Summer 2020/21,2020-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
95aa262f-30aa-4e11-8296-3a374a9fa3aa,Summer 2019/20,2019-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
d5fcf197-b63b-4b8c-92a6-6925538ba1ac,Winter 2019,2019-01-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
fec2e604-1806-4e0f-861e-b7ee37643f96,Summer 2018/19,2018-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
a9c25381-9a31-4bde-b3ff-4074ebed8044,Summer 2017/18,2017-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
7ec61036-ef0f-434b-9cfb-d287d9f6ec26,Summer 2016/17,2016-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
c097ba1c-ea65-4a1e-8945-ffe9f22c576a,Summer 2015/16,2015-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
f7567eab-6090-4cf2-b14f-2874ae98667f,Summer 2014/15,2014-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
a07158e7-b32f-4511-9f9b-5f75c5f7d6ae,Summer 2013/14,2013-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
aaf17d1d-d108-45ab-9c9f-7dcbe99d33f1,Summer 2012/13,2012-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
eec02606-f589-43b3-9d5a-40c3db29b323,Summer 2011/12,2011-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
b41aad11-0719-4499-ae34-fa95731e582b,Summer 2010/11,2010-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
d1b386aa-ac78-4fb4-a434-94b03b69808a,Summer 2009/10,2009-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
2bea42bd-9a74-48c1-9950-f7c3a3906c31,Summer 2008/09,2008-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
3a5d3c8d-38f5-4c33-b1eb-01aeced3cfd3,Summer 2007/08,2007-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
e9b37153-9187-4dad-b04d-cf5fa01ccb8e,Summer 2006/07,2006-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
54f45899-c1b5-4d0a-ae20-dc26e463e143,Summer 2005/06,2005-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
94913459-339b-4070-9581-c6c1dfad328b,Summer 2004/05,2004-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
4e850a88-1187-4f43-a5d9-7e988a6e218f,Summer 2003/04,2003-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
3bf412ae-5efe-4a2b-9d0f-7174ce7d0a71,Summer 2002/03,2002-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
5347386c-ad71-47fe-bd25-a914b2ddf946,Summer 2001/02,2001-07-01T00:00:00.0000000+00:00,False,"[{""id"": 1, ""name"": ""Participating""}]"
