season,season_sort_key,player_name,team,grade,matches,overs,balls,maidens,bowling_runs_conceded,wickets,average,strike_rate,economy,best_bowling,3wi,5wi,10wm,source_sheet,source_row,source_file,source_system,data_confidence,qa_status
Summer 1929/30,192900,A Seddon,Georges River DCC,Historical club summary,,79.0,474,5,403,15,26.86666667,,,,,,,1929-30,21,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,C Robinson,Georges River DCC,Historical club summary,,23.0,138,,99,4,24.75,,,,,,,1929-30,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,F Richards,Georges River DCC,Historical club summary,,81.0,486,10,282,12,23.5,,,,,,,1929-30,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,F Richards,Georges River DCC,Historical club summary,,69.0,414,12,225,13,17.30769231,,,,,,,1929-30,46,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,G Gilbert,Georges River DCC,Historical club summary,,43.0,258,3,172,8,21.5,,,,,,,1929-30,39,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Cook,Georges River DCC,Historical club summary,,24.0,144,,219,5,43.8,,,,,,,1929-30,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Lynch,Georges River DCC,Historical club summary,,39.0,234,4,239,12,19.91666667,,,,,,,1929-30,44,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,J Mcguiness,Georges River DCC,Historical club summary,,218.0,1308,14,572,37,15.45945946,,,,,,,1929-30,45,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,L Tustin,Georges River DCC,Historical club summary,,149.5,899,3,780,54,14.44444444,,,,,,,1929-30,24,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,M Jones,Georges River DCC,Historical club summary,,114.0,684,7,500,31,16.12903226,,,,,,,1929-30,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,R Bartley,Georges River DCC,Historical club summary,,44.0,264,1,268,8,33.5,,,,,,,1929-30,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,R Bartley,Georges River DCC,Historical club summary,,40.0,240,1,251,9,27.88888889,,,,,,,1929-30,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,R Clarke,Georges River DCC,Historical club summary,,66.0,396,,390,25,15.6,,,,,,,1929-30,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,Reg Sommerlad,Georges River DCC,Historical club summary,,48.0,288,6,243,15,16.2,,,,,,,1929-30,49,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,T O'neill,Georges River DCC,Historical club summary,,161.3,969,10,739,31,23.83870968,,,,,,,1929-30,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1929/30,192900,W Lofberg,Georges River DCC,Historical club summary,,23.0,138,1,147,7,21,,,,,,,1929-30,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Glasspool,Georges River DCC,Historical club summary,,9.0,54,1,56,2,28,,,,,,,1930-31,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Glasspool,Georges River DCC,Historical club summary,,67.5,407,10,226,20,11.3,,,,,,,1930-31,38,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,A Ryan,Georges River DCC,Historical club summary,,6.0,36,,38,1,38,,,,,,,1930-31,45,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,C Avern,Georges River DCC,Historical club summary,,3.0,18,,19,1,19,,,,,,,1930-31,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,E Reid,Georges River DCC,Historical club summary,,26.0,156,1,111,6,18.5,,,,,,,1930-31,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Griggs,Georges River DCC,Historical club summary,,280.0,1680,66,739,76,9.723684211,,,,,,,1930-31,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Hurst,Georges River DCC,Historical club summary,,19.3,117,,140,9,15.55555556,,,,,,,1930-31,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,F Richards,Georges River DCC,Historical club summary,,100.4,604,7,414,19,21.78947368,,,,,,,1930-31,20,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,G Gilbert,Georges River DCC,Historical club summary,,14.0,84,,87,1,87,,,,,,,1930-31,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,H Clapham,Georges River DCC,Historical club summary,,69.1,415,4,351,5,70.2,,,,,,,1930-31,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,H Webb,Georges River DCC,Historical club summary,,7.0,42,1,40,1,40,,,,,,,1930-31,48,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Boardman,Georges River DCC,Historical club summary,,16.0,96,1,96,1,96,,,,,,,1930-31,31,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Lynch,Georges River DCC,Historical club summary,,11.0,66,,50,1,50,,,,,,,1930-31,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,J Mcguiness,Georges River DCC,Historical club summary,,159.2,956,17,649,41,15.82926829,,,,,,,1930-31,44,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,L Maltby,Georges River DCC,Historical club summary,,9.0,54,1,34,1,34,,,,,,,1930-31,16,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,M Jones,Georges River DCC,Historical club summary,,207.3,1245,19,923,55,16.78181818,,,,,,,1930-31,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Percy Eldridge,Georges River DCC,Historical club summary,,31.0,186,1,200,9,22.22222222,,,,,,,1930-31,35,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,R Bartley,Georges River DCC,Historical club summary,,26.0,156,4,101,4,25.25,,,,,,,1930-31,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,R Clarke,Georges River DCC,Historical club summary,,147.1,883,12,755,56,13.48214286,,,,,,,1930-31,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Reg Sommerlad,Georges River DCC,Historical club summary,,52.0,312,4,255,8,31.875,,,,,,,1930-31,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,Ren Bullock,Georges River DCC,Historical club summary,,26.0,156,3,116,8,14.5,,,,,,,1930-31,7,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1930/31,193000,S Glasspool,Georges River DCC,Historical club summary,,41.0,246,1,187,9,20.77777778,,,,,,,1930-31,37,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1930/31,193000,T O'neill,Georges River DCC,Historical club summary,,155.1,931,15,688,46,14.95652174,,,,,,,1930-31,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,F Griggs,Georges River DCC,Historical club summary,,269.0,1614,71,660,81,8.148148148,,,,,,,1931-32,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,L Tustin,Georges River DCC,Historical club summary,,111.0,666,6,503,33,15.24242424,,,,,,,1931-32,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,M Jones,Georges River DCC,Historical club summary,,169.1,1015,16,734,51,14.39215686,,,,,,,1931-32,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,Ren Bullock,Georges River DCC,Historical club summary,,94.5,569,12,385,23,16.73913043,,,,,,,1931-32,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,S Glasspool,Georges River DCC,Historical club summary,,1.4,10,,5,1,5,,,,,,,1931-32,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1931/32,193100,T O'neill,Georges River DCC,Historical club summary,,29.0,174,2,126,6,21,,,,,,,1931-32,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,A Clarkson,Georges River DCC,Historical club summary,,4.0,24,,16,4,4,,,,,,,1932-33,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,A Clarkson,Georges River DCC,Historical club summary,,58.0,348,3,217,11,19.72727273,,,,,,,1932-33,27,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,Bill Edmonds,Georges River DCC,Historical club summary,,25.0,150,1,133,6,22.16666667,,,,,,,1932-33,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,C Beehag,Georges River DCC,Historical club summary,,9.5,59,3,17,3,5.666666667,,,,,,,1932-33,26,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,C Hughes,Georges River DCC,Historical club summary,,32.5,197,4,115,6,19.16666667,,,,,,,1932-33,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,D Morton,Georges River DCC,Historical club summary,,4.0,24,1,47,2,23.5,,,,,,,1932-33,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,D Morton,Georges River DCC,Historical club summary,,92.1,553,5,335,28,11.96428571,,,,,,,1932-33,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,E Reid,Georges River DCC,Historical club summary,,1.1,7,,1,2,0.5,,,,,,,1932-33,19,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Griggs,Georges River DCC,Historical club summary,,269.2,1616,66,813,83,9.795180723,,,,,,,1932-33,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Hurst,Georges River DCC,Historical club summary,,32.0,192,,226,7,32.28571429,,,,,,,1932-33,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,F Mcdarra,Georges River DCC,Historical club summary,,67.4,406,8,216,11,19.63636364,,,,,,,1932-33,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Dixon,Georges River DCC,Historical club summary,,3.0,18,1,6,1,6,,,,,,,1932-33,7,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Dixon,Georges River DCC,Historical club summary,,68.0,408,10,279,15,18.6,,,,,,,1932-33,29,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,J Kenyon,Georges River DCC,Historical club summary,,78.0,468,15,263,6,43.83333333,,,,,,,1932-33,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,L Hunt,Georges River DCC,Historical club summary,,19.0,114,1,82,6,13.66666667,,,,,,,1932-33,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,M Jones,Georges River DCC,Historical club summary,,140.0,840,17,551,38,14.5,,,,,,,1932-33,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,N Mashman,Georges River DCC,Historical club summary,,16.0,96,,66,6,11,,,,,,,1932-33,38,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,Percy Eldridge,Georges River DCC,Historical club summary,,124.1,745,17,470,29,16.20689655,,,,,,,1932-33,31,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,R Avern,Georges River DCC,Historical club summary,,19.0,114,2,100,2,50,,,,,,,1932-33,25,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,R Maher,Georges River DCC,Historical club summary,,10.0,60,,56,1,56,,,,,,,1932-33,37,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,R Morrison,Georges River DCC,Historical club summary,,29.4,178,1,198,12,16.5,,,,,,,1932-33,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,R Morrison,Georges River DCC,Historical club summary,,16.1,97,,120,6,20,,,,,,,1932-33,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,Ren Bullock,Georges River DCC,Historical club summary,,165.5,995,28,593,41,14.46341463,,,,,,,1932-33,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,T O'neill,Georges River DCC,Historical club summary,,73.0,438,7,288,16,18,,,,,,,1932-33,16,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1932/33,193200,T Whitaker,Georges River DCC,Historical club summary,,29.3,177,2,128,12,10.66666667,,,,,,,1932-33,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Chas Gray,Georges River DCC,Historical club summary,,81.0,486,11,284,20,14.2,,,,,,,1933-34,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,D Morton,Georges River DCC,Historical club summary,,62.0,372,5,275,15,18.33333333,,,,,,,1933-34,44,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,F Griggs,Georges River DCC,Historical club summary,,211.1,1267,38,697,55,12.67272727,,,,,,,1933-34,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,F Hurst,Georges River DCC,Historical club summary,,57.1,343,1,418,22,19,,,,,,,1933-34,35,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,J Dixon,Georges River DCC,Historical club summary,,36.1,217,1,141,13,10.84615385,,,,,,,1933-34,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,J Farthing,Georges River DCC,Historical club summary,,36.0,216,4,130,6,21.66666667,,,,,,,1933-34,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Jack Farthing,Georges River DCC,Historical club summary,,96.0,576,16,363,25,14.52,,,,,,,1933-34,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,L Hunt,Georges River DCC,Historical club summary,,58.4,352,6,277,11,25.18181818,,,,,,,1933-34,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Percy Eldridge,Georges River DCC,Historical club summary,,87.1,523,7,388,15,25.86666667,,,,,,,1933-34,29,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Ren Bullock,Georges River DCC,Historical club summary,,170.0,1020,29,545,60,9.083333333,,,,,,,1933-34,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Tom Mooney,Georges River DCC,Historical club summary,,94.0,564,15,343,18,19.05555556,,,,,,,1933-34,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1933/34,193300,Vic Winspear,Georges River DCC,Historical club summary,,30.0,180,1,186,13,14.30769231,,,,,,,1933-34,48,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,F Griggs,Georges River DCC,Historical club summary,,184.0,1104,47,527,38,13.86842105,,,,,,,1934-35,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,F Richards,Georges River DCC,Historical club summary,,93.1,559,15,328,23,14.26086957,,,,,,,1934-35,39,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,J Dixon,Georges River DCC,Historical club summary,,88.0,528,11,348,20,17.4,,,,,,,1934-35,27,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,M Jones,Georges River DCC,Historical club summary,,92.0,552,5,373,20,18.65,,,,,,,1934-35,13,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,Percy Eldridge,Georges River DCC,Historical club summary,,130.0,780,19,462,33,14,,,,,,,1934-35,29,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1934/35,193400,Ren Bullock,Georges River DCC,Historical club summary,,208.4,1252,11,259,20,12.95,,,,,,,1934-35,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1934/35,193400,Tom Mooney,Georges River DCC,Historical club summary,,133.1,799,19,465,41,11.34146341,,,,,,,1934-35,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1935/36,193500,Kingsley Osborne,Georges River DCC,Historical club summary,,48.1,289,,278,24,11.58333333,,,,,,,1935-36,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1935/36,193500,Percy Eldridge,Georges River DCC,Historical club summary,,96.1,577,6,401,23,17.43478261,,,,,,,1935-36,36,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1935/36,193500,T Osborne,Georges River DCC,Historical club summary,,90.3,543,18,261,36,7.25,,,,,,,1935-36,20,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1935/36,193500,Tom Mooney,Georges River DCC,Historical club summary,,94.4,568,16,357,24,14.875,,,,,,,1935-36,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1936/37,193600,Chas Gray,Georges River DCC,Historical club summary,,82.0,492,12,311,30,10.36666667,,,,,,,1936-37,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1936/37,193600,Percy Eldridge,Georges River DCC,Historical club summary,,99.4,598,9,460,22,20.90909091,,,,,,,1936-37,29,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1936/37,193600,Ray Gray,Georges River DCC,Historical club summary,,79.0,474,8,317,21,15.0952381,,,,,,,1936-37,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1936/37,193600,Reg Sommerlad,Georges River DCC,Historical club summary,,76.0,456,6,291,21,13.85714286,,,,,,,1936-37,43,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1936/37,193600,Ren Bullock,Georges River DCC,Historical club summary,,172.0,1032,31,612,40,15.3,,,,,,,1936-37,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1937/38,193700,H Jolly,Georges River DCC,Historical club summary,,85.1,511,10,324,26,12.46153846,,,,,,,1937-38,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1937/38,193700,Percy Eldridge,Georges River DCC,Historical club summary,,92.4,556,5,440,29,15.17241379,,,,,,,1937-38,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1937/38,193700,Reg Sommerlad,Georges River DCC,Historical club summary,,161.0,966,24,574,38,15.10526316,,,,,,,1937-38,49,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Alan Mashman,Georges River DCC,Historical club summary,,85.0,510,9,280,31,9.032258065,,,,,,,1938-39,39,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Arthur Sommerlad,Georges River DCC,Historical club summary,,77.1,463,5,313,22,14.22727273,,,,,,,1938-39,46,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Bob Bennett,Georges River DCC,Historical club summary,,212.0,1272,29,776,56,13.85714286,,,,,,,1938-39,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Dave Winspear,Georges River DCC,Historical club summary,,80.0,480,4,399,38,10.5,,,,,,,1938-39,49,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,H Jolly,Georges River DCC,Historical club summary,,83.0,498,12,319,19,16.78947368,,,,,,,1938-39,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,I Findlay,Georges River DCC,Historical club summary,,119.0,714,21,398,22,18.09090909,,,,,,,1938-39,9,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Ren Bullock,Georges River DCC,Historical club summary,,195.1,1171,32,578,43,13.44186047,,,,,,,1938-39,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Ron Gray,Georges River DCC,Historical club summary,,136.5,821,13,525,34,15.44117647,,,,,,,1938-39,11,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,S Fuller,Georges River DCC,Historical club summary,,77.0,462,7,279,15,18.6,,,,,,,1938-39,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1938/39,193800,Tom Mooney,Georges River DCC,Historical club summary,,88.0,528,13,340,34,10,,,,,,,1938-39,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,A Mashman,Georges River DCC,Historical club summary,,119.0,714,13,543,28,19.39285714,,,,,,,1939-40,15,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,Bob Bennett,Georges River DCC,Historical club summary,,83.2,500,11,298,21,14.19047619,,,,,,,1939-40,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,Dave Winspear,Georges River DCC,Historical club summary,,39.1,235,1,259,21,12.33333333,,,,,,,1939-40,57,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,F Winspear,Georges River DCC,Historical club summary,,58.1,349,6,324,21,15.42857143,,,,,,,1939-40,26,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,H Jolly,Georges River DCC,Historical club summary,,66.4,400,6,376,20,18.8,,,,,,,1939-40,14,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,I Findlay,Georges River DCC,Historical club summary,,84.1,505,15,322,23,14,,,,,,,1939-40,40,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,J Ross,Georges River DCC,Historical club summary,,59.0,354,13,161,21,7.666666667,,,,,,,1939-40,52,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,Ren Bullock,Georges River DCC,Historical club summary,,139.0,834,20,580,34,17.05882353,,,,,,,1939-40,5,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,S Fuller,Georges River DCC,Historical club summary,,120.2,722,18,410,31,13.22580645,,,,,,,1939-40,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1939/40,193900,Tom Mooney,Georges River DCC,Historical club summary,,114.4,688,12,528,41,12.87804878,,,,,,,1939-40,46,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,H Jolly,Georges River DCC,Historical club summary,,64.5,389,2,446,30,14.86666667,,,,,,,1940-41,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,Jack Farthing,Georges River DCC,Historical club summary,,62.0,372,,283,23,12.30434783,,,,,,,1940-41,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,Percy Eldridge,Georges River DCC,Historical club summary,,65.4,394,5,311,20,15.55,,,,,,,1940-41,33,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,R Brand,Georges River DCC,Historical club summary,,106.4,640,15,440,26,16.92307692,,,,,,,1940-41,32,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,R Frost,Georges River DCC,Historical club summary,,87.1,523,8,424,27,15.7037037,,,,,,,1940-41,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,R Morrison,Georges River DCC,Historical club summary,,49.3,297,1,279,26,10.73076923,,,,,,,1940-41,44,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,Ren Bullock,Georges River DCC,Historical club summary,,158.0,948,16,758,32,23.6875,,,,,,,1940-41,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1940/41,194000,Tom Mooney,Georges River DCC,Historical club summary,,145.3,873,14,565,42,13.45238095,,,,,,,1940-41,43,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,A Mckinnery,Georges River DCC,Historical club summary,,122.0,732,6,562,41,13.70731707,,,,,,,1944-45,47,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,Arthur Sommerlad,Georges River DCC,Historical club summary,,135.0,810,14,523,32,16.34375,,,,,,,1944-45,53,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,Bill Edmonds,Georges River DCC,Historical club summary,,101.1,607,13,372,22,16.90909091,,,,,,,1944-45,10,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,H Jolly,Georges River DCC,Historical club summary,,151.0,906,3,924,81,11.40740741,,,,,,,1944-45,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,Jack Farthing,Georges River DCC,Historical club summary,,95.3,573,8,324,26,12.46153846,,,,,,,1944-45,12,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,R Scanlon,Georges River DCC,Historical club summary,,151.3,909,8,698,49,14.24489796,,,,,,,1944-45,51,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1944/45,194400,W Murray,Georges River DCC,Historical club summary,,91.3,549,1,446,31,14.38709677,,,,,,,1944-45,21,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,C Austin,Georges River DCC,Historical club summary,,5.0,30,,51,1,51,,,,,,,1946-47,28,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,D Winspear,Georges River DCC,Historical club summary,,17.0,102,,148,5,29.6,,,,,,,1946-47,52,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,E Edmonds,Georges River DCC,Historical club summary,,12.0,72,,63,4,15.75,,,,,,,1946-47,6,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,E Lamb,Georges River DCC,Historical club summary,,0.3,3,,,1,,,,,,,,1946-47,41,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,G Leslie,Georges River DCC,Historical club summary,,117.0,702,10,521,40,13.02,,,,,,,1946-47,43,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,J Farthing,Georges River DCC,Historical club summary,,47.2,284,3,200,14,14.28,,,,,,,1946-47,7,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,J Ross,Georges River DCC,Historical club summary,,24.0,144,3,105,7,15,,,,,,,1946-47,49,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,J Squires,Georges River DCC,Historical club summary,,54.5,329,2,315,11,28.63,,,,,,,1946-47,50,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,M Lamb,Georges River DCC,Historical club summary,,21.5,131,1,119,4,29.75,,,,,,,1946-47,42,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,N Davidson,Georges River DCC,Historical club summary,,29.0,174,3,105,7,15,,,,,,,1946-47,5,bexley_stats_spreadsheets.xlsx,excel,medium,clean
Summer 1946/47,194600,N Davidson,Georges River DCC,Historical club summary,,13.0,78,,58,4,14.5,,,,,,,1946-47,34,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,R Brand,Georges River DCC,Historical club summary,,59.2,356,5,245,20,12.25,,,,,,,1946-47,30,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,R Bullock,Georges River DCC,Historical club summary,,90.0,540,9,357,23,15.52,,,,,,,1946-47,4,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,S Fuller,Georges River DCC,Historical club summary,,125.1,751,9,579,45,12.86,,,,,,,1946-47,35,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,T Mooney,Georges River DCC,Historical club summary,,18.0,108,2,81,5,16.2,,,,,,,1946-47,46,bexley_stats_spreadsheets.xlsx,excel,high,clean
Summer 1946/47,194600,T Squires,Georges River DCC,Historical club summary,,126.2,758,14,620,40,15.5,,,,,,,1946-47,17,bexley_stats_spreadsheets.xlsx,excel,high,clean
